cleaned_text,category,source
when in a case instituted on a police report or otherwise the accused appears or is brought before the magistrate and it appears to the magistrate that the offence is triable exclusively by the court of session he shall a commit after complying with the provisions of section or section as the case may be the case to the court of session and subject to the provisions of this code relating to bail remand the accused to custody until such commitment has been made b subject to the provisions of this code relating to bail remand the accused to custody during and until the conclusion of the trial c send to that court the record of the case and the documents and articles if any which are to be produced in evidence d notify the public prosecutor of the commitment of the case to the court of session state amendment gujarat in section of the code of criminal procedure in its application to the state of gujarat for clause a the following clause shall be substituted namely a commit the case after complying with the provisions of section or section as the case may be to the court of session and subject to the provisions of this code relating to bail remand the accused to custody until such commitment has been made vide gujarat act of s uttar pradesh in section of the said code for clauses a and b the following clauses shall be substituted and be deemed always to have been substituted namely a as soon as may be after complying with the provisions of section commit the case to the court of session b subject to the provisions of this code relating to bail remand the accused to custody until commitment of the case under clause a and thereafter during and until the conclusion of the trial vide uttar pradesh act of s,Court Procedure,CrPC
when in a case instituted otherwise than on a police report hereinafter referred to as a complaint case it is made to appear to the magistrate during the course of the inquiry or trial held by him that an investigation by the police is in progress in relation to the offence which is the subjectmatter of the inquiry or trial held by him the magistrate shall stay the proceedings of such inquiry or trial and call for a report on the matter from the police officer conducting the investigation if a report is made by the investigating police officer under section and on such report cognizance of any offence is taken by the magistrate against any person who is an accused in the complaint case the magistrate shall inquire into or try together the complaint case and the case arising out of the police report as if both the cases were instituted on a police report if the police report does not relate to any accused in the complaint case or if the magistrate does not take cognizance of any offence on the police report he shall proceed with the inquiry or trial which was stayed by him in accordance with the provisions of this code,Court Procedure,CrPC
every charge under this code shall state the offence with which the accused is charged if the law which creates the offence gives it any specific name the offence may be described in the charge by that name only if the law which creates the offence does not give it any specific name so much of the definition of the offence must be stated as to give the accused notice of the matter with which he is charged the law and section of the law against which the offence is said to have been committed shall be mentioned in the charge the fact that the charge is made is equivalent to a statement that every legal condition required by law to constitute the offence charged was fulfilled in the particular case the charge shall be written in the language of the court if the accused having been previously convicted of any offence is liable by reason of such previous conviction to enhanced punishment or to punishment of a different kind for a subsequent offence and it is intended to prove such previous conviction for the purpose of affecting the punishment which the court may think fit to award for the subsequent offence the fact date and place of the previous conviction shall be stated in the charge and if such statement has been omitted the court may add it at any time before sentence is passed illustrations a a is charged with the murder of b this is equivalent to a statement that as act fell within the definition of murder given in sections and of the indian penal code of that it did not fall within any of the general exceptions of the said code and that it did not fall within any of the five exceptions to section or that if it did fall within exception one or other of the three provisos to that exception applied to it b a is charged under section of the indian penal code of with voluntarily causing grievous hurt to b by means of an instrument for shooting this is equivalent to a statement that the case was not provided for by section of the said code and that the general exceptions did not apply to it c a is accused of murder cheating theft extortion adultery or criminal intimidation or using a false propertymark the charge may state that a committed murder or cheating or theft or extortion or adultery or criminal intimidation or that he used a false propertymark without reference to the definitions of those crimes contained in the indian penal code of but the sections under which the offence is punishable must in each instance be referred to in the charge d a is charged under section of the indian penal code of with intentionally obstructing a sale of property offered for sale by the lawful authority of a public servant the charge should be in those words,Trial Procedure,CrPC
the charge shall contain such particulars as to the time and place of the alleged offence and the person if any against whom or the thing if any in respect of which it was committed as are reasonably sufficient to give the accused notice of the matter with which he is charged when the accused is charged with criminal breach of trust or dishonest misappropriation of money or other movable property it shall be sufficient to specify the gross sum or as the case may be describe the movable property in respect of which the offence is alleged to have been committed and the dates between which the offence is alleged to have been committed without specifying particular items or exact dates and the charge so framed shall be deemed to be a charge of one offence within the meaning of section provided that the time included between the first and last of such dates shall not exceed one year,Trial Procedure,CrPC
when the nature of the case is such that the particulars mentioned in sections and do not give the accused sufficient notice of the matter with which he is charged the charge shall also contain such particulars of the manner in which the alleged offence was committed as will be sufficient for that purpose illustrations a a is accused of the theft of a certain article at a certain time and place the charge need not set out the manner in which the theft was effected b a is accused of cheating b at a given time and place the charge must set out the manner in which a cheated b c a is accused of giving false evidence at a given time and place the charge must set out that portion of the evidence given by a which is alleged to be false d a is accused of obstructing b a public servant in the discharge of his public functions at a given time and place the charge must set out the manner in which a obstructed b in the discharge of his functions e a is accused of the murder of b at a given time and place the charge need not state the manner in which a murdered b f a is accused of disobeying a direction of the law with intent to save b from punishment the charge must set out the disobedience charged and the law infringed,Trial Procedure,CrPC
in every charge words used in describing an offence shall be deemed to have been used in the sense attached to them respectively by the law under which such offence is punishable,Trial Procedure,CrPC
no error in stating either the offence or the particulars required to be stated in the charge and no omission to state the offence or those particulars shall be regarded at any stage of the case as material unless the accused was in fact misled by such error or omission and it has occasioned a failure of justice illustrations a a is charged under section of the indian penal code of with having been in possession of counterfeit coin having known at the time when he became possessed thereof that such coin was counterfeit the word fraudulently being omitted in the charge unless it appears that a was in fact misled by this omission the error shall not be regarded as material b a is charged with cheating b and the manner in which he cheated b is not set out in the charge or is set out incorrectly a defends himself calls witnesses and gives his own account of the transaction the court may infer from this that the omission to set out the manner of the cheating is not material c a is charged with cheating b and the manner in which he cheated b is not set out in the charge there were many transactions between a and b and a had no means of knowing to which of them the charge referred and offered no defence the court may infer from such facts that the omission to set out the manner of the cheating was in the case a material error d a is charged with the murder of khoda baksh on the st january in fact the murdered persons name was haidar baksh and the date of the murder was the th january a was never charged with any murder but one and had heard the inquiry before the magistrate which referred exclusively to the case of haidar baksh the court may infer from these facts that a was not misled and that the error in the charge was immaterial e a was charged with murdering haidar baksh on the th january and khoda baksh who tried to arrest him for that murder on the st january when charged for the murder of haidar baksh he was tried for the murder of khoda baksh the witnesses present in his defence were witnesses in the case of haidar baksh the court may infer from this that a was misled and that the error was material,Trial Procedure,CrPC
any court may alter or add to any charge at any time before judgment is pronounced every such alteration or addition shall be read and explained to the accused if the alteration or addition to a charge is such that proceeding immediately with the trial is not likely in the opinion of the court to prejudice the accused in his defence or the prosecutor in the conduct of the case the court may in its discretion after such alteration or addition has been made proceed with the trial as if the altered or added charge had been the original charge if the alteration or addition is such that proceeding immediately with the trial is likely in the opinion of the court to prejudice the accused or the prosecutor as aforesaid the court may either direct a new trial or adjourn the trial for such period as may be necessary if the offence stated in the altered or added charge is one for the prosecution of which previous sanction is necessary the case shall not be proceeded with until such sanction is obtained unless sanction has been already obtained for a prosecution on the same facts as those on which the altered or added charge is founded,Trial Procedure,CrPC
whenever a charge is altered or added to by the court after the commencement of the trial the prosecutor and the accused shall be allowed a to recall or resummon and examine with reference to such alteration or addition any witness who may have been examined unless the court for reasons to be recorded in writing considers that the prosecutor or the accused as the case may be desires to recall or reexamine such witness for the purpose of vexation or delay or for defeating the ends of justice b also to call any further witness whom the court may think to be material,Trial Procedure,CrPC
for every distinct offence of which any person is accused there shall be a separate charge and every such charge shall be tried separately provided that where the accused person by an application in writing so desires and the magistrate is of opinion that such person is not likely to be prejudiced thereby the magistrate may try together all or any number of the charges framed against such person nothing in subsection shall affect the operation of the provisions of sections and illustration a is accused of a theft on one occasion and of causing grievous hurt on another occasion a must be separately charged and separately tried for the theft and causing grievous hurt,Trial Procedure,CrPC
when a person is accused of more offences than one of the same kind committed within the space of twelve months from the first to the last of such offences whether in respect of the same person or not he may be charged with and tried at one trial for any number of them not exceeding three offences are of the same kind when they are punishable with the same amount of punishment under the same section of the indian penal code of or of any special or local law provided that for the purposes of this section an offence punishable under section of the indian penal code of shall be deemed to be an offence of the same kind as an offence punishable under section of the said code and that an offence punishable under any section of the said code or of any special or local law shall be deemed to be an offence of the same kind as an attempt to commit such offence when such an attempt is an offence,Trial Procedure,CrPC
if in one series of acts so connected together as to form the same transaction more offences than one are committed by the same person he may be charged with and tried at one trial for every such offence when a person charged with one or more offences of criminal breach of trust or dishonest misappropriation of property as provided in subsection of section or in subsection of section is accused of committing for the purpose of facilitating or concealing the commission of that offence or those offences one or more offences of falsification of accounts he may be charged with and tried at one trial for every such offence if the acts alleged constitute an offence falling within two or more separate definitions of any law in force for the time being by which offences are defined or punished the person accused of them may be charged with and tried at one trial for each of such offences if several acts of which one or more than one would by itself or themselves constitute an offence constitute when combined a different offence the person accused of them may be charged with and tried at one trial for the offence constituted by such acts when combined and for any offence constituted by any one or more of such acts nothing contained in this section shall affect section of the indian penal code of illustrations to subsection a a rescues b a person in lawful custody and in so doing causes grievous hurt to c a constable in whose custody b was a may be charged with and convicted of offences under sections and of the indian penal code of b a commits housebreaking by day with intent to commit adultery and commits in the house so entered adultery with bs wife a may be separately charged with and convicted of offences under sections and of the indian penal code of c a entices b the wife of c away from c with intent to commit adultery with b and then commits adultery with her a may be separately charged with and convicted of offences under sections and of the indian penal code of d a has in his possession several seals knowing them to be counterfeit and intending to use them for the purpose of committing several forgeries punishable under section of the indian penal code of a may be separately charged with and convicted of the possession of each seal under section of the indian penal code e with intent to cause injury to b a institutes a criminal proceeding against him knowing that there is no just or lawful ground for such proceeding and also falsely accuses b of having committed an offence knowing that there is no just or lawful ground for such charge a may be separately charged with and convicted of two offences under section of the indian penal code of f a with intent to cause injury to b falsely accuses him of having committed an offence knowing that there is no just or lawful ground for such charge on the trial a gives false evidence against b intending thereby to cause b to be convicted of a capital offence a may be separately charged with and convicted of offences under sections and of the indian penal code of g a with six others commits the offences of rioting grievous hurt and assaulting a public servant endeavouring in the discharge of his duty as such to suppress the riot a may be separately charged with and convicted of offences under sections and of the indian penal code of h a threatens b c and d at the same time with injury to their persons with intent to cause alarm to them a may be separately charged with and convicted of each of the three offences under section of the indian penal code of the separate charges referred to in illustrations a to h respectively may be tried at the same time illustrations to subsection i a wrongfully strikes b with a cane a may be separately charged with and convicted of offences under sections and of the indian penal code of j several stolen sacks of corn are made over to a and b who knew they are stolen property for the purpose of concealing them a and b thereupon voluntarily assist each other to conceal the sacks at the bottom of a grainpit a and b may be separately charged with and convicted of offences under sections and of the indian penal code of k a exposes her child with the knowledge that she is thereby likely to cause its death the child dies in consequence of such exposure a may be separately charged with and convicted of offences under sections and of the indian penal code of l a dishonestly uses a forged document as genuine evidence in order to convict b a public servant of an offence under section of the indian penal code of a may be separately charged with and convicted of offences under sections read with section and of that code illustration to subsection m a commits robbery on b and in doing so voluntarily causes hurt to him a may be separately charged with and convicted of offences under sections and of the indian penal code of,Trial Procedure,CrPC
if a single act or series of acts is of such a nature that it is doubtful which of several offences the facts which can be proved will constitute the accused may be charged with having committed all or any of such offences and any number of such charges may be tried at once or he may be charged in the alternative with having committed some one of the said offences if in such a case the accused is charged with one offence and it appears in evidence that he committed a different offence for which he might have been charged under the provisions of subsection he may be convicted of the offence which he is shown to have committed although he was not charged with it illustrations a a is accused of an act which may amount to theft or receiving stolen property or criminal breach of trust or cheating he may be charged with theft receiving stolen property criminal breach of trust and cheating or he may be charged with having committed theft or receiving stolen property or criminal breach of trust or cheating b in the case mentioned a is only charged with theft it appears that he committed the offence of criminal breach of trust or that of receiving stolen goods he may be convicted of criminal breach of trust or of receiving stolen goods as the case may be though he was not charged with such offence c a states on oath before the magistrate that he saw b hit c with a club before the sessions court a states on oath that b never hit c a may be charged in the alternative and convicted of intentionally giving false evidence although it cannot be proved which of these contradictory statements was false,Trial Procedure,CrPC
when a person is charged with an offence consisting of several particulars a combination of some only of which constitutes a complete minor offence and such combination is proved but the remaining particulars are not proved he may be convicted of the minor offence though he was not charged with it when a person is charged with an offence and facts are proved which reduce it to a minor offence he may be convicted of the minor offence although he is not charged with it when a person is charged with an offence he may be convicted of an attempt to commit such offence although the attempt is not separately charged nothing in this section shall be deemed to authorise a conviction of any minor offence where the conditions requisite for the initiation of proceedings in respect of that minor offence have not been satisfied illustrations a a is charged under section of the indian penal code of with criminal breach of trust in respect of property entrusted to him as a carrier it appears that he did commit criminal breach of trust under section of that code in respect of the property but that it was not entrusted to him as a carrier he may be convicted of criminal breach of trust under the said section b a is charged under section of the indian penal code of with causing grievous hurt he proves that he acted on grave and sudden provocation he may be convicted under section of that code,Trial Procedure,CrPC
the following persons may be charged and tried together namely a persons accused of the same offence committed in the course of the same transaction b persons accused of an offence and persons accused of abetment of or attempt to commit such offence c persons accused of more than one offence of the same kind within the meaning of section committed by them jointly within the period of twelve months d persons accused of different offences committed in the course of the same transaction e persons accused of an offence which includes theft extortion cheating or criminal misappropriation and persons accused of receiving or retaining or assisting in the disposal or concealment of property possession of which is alleged to have been transferred by any such offence committed by the firstnamed persons or of abetment of or attempting to commit any such lastnamed offence f persons accused of offences under sections and of the indian penal code of or either of those sections in respect of stolen property the possession of which has been transferred by one offence g persons accused of any offence under chapter xii of the indian penal code of relating to counterfeit coin and persons accused of any other offence under the said chapter relating to the same coin or of abetment of or attempting to commit any such offence and the provisions contained in the former part of this chapter shall so far as may be apply to all such charges provided that where a number of persons are charged with separate offences and such persons do not fall within any of the categories specified in this section the magistrate or court of session may if such persons by an application in writing so desire and if he or it is satisfied that such persons would not be prejudicially affected thereby and it is expedient so to do try all such persons together,Trial Procedure,CrPC
when a charge containing more heads than one is framed against the same person and when a conviction has been had on one or more of them the complainant or the officer conducting the prosecution may with the consent of the court withdraw the remaining charge or charges or the court of its own accord may stay the inquiry into or trial of such charge or charges and such withdrawal shall have the effect of an acquittal on such charge or charges unless the conviction be set aside in which case the said court subject to the order of the court setting aside the conviction may proceed with the inquiry into or trial of the charge or charges so withdrawn,Trial Procedure,CrPC
in every trial before a court of session the prosecution shall be conducted by a public prosecutor opening case for prosecution,Trial Procedure,CrPC
when the accused appears or is brought before the court in pursuance of a commitment of the case under section the prosecutor shall open his case by describing the charge brought against the accused and stating by what evidence he proposes to prove the guilt of the accused,Trial Procedure,CrPC
if upon consideration of the record of the case and the documents submitted therewith and after hearing the submissions of the accused and the prosecution in this behalf the judge considers that there is not sufficient ground for proceeding against the accused he shall discharge the accused and record his reasons for so doing,Trial Procedure,CrPC
if after such consideration and hearing as aforesaid the judge is of opinion that there is ground for presuming that the accused has committed an offence which a is not exclusively triable by the court of session he may frame a charge against the accused and by order transfer the case for trial to the chief judicial magistrate or any other judicial magistrate of the first class and direct the accused to appear before the chief judicial magistrate or as the case may be the judicial magistrate of the first class on such date as he deems fit and thereupon such magistrate shall try the offence in accordance with the procedure for the trial of warrantcases instituted on a police report b is exclusively triable by the court he shall frame in writing a charge against the accused where the judge frames any charge under clause b of subsection the charge shall be read and explained to the accused and the accused shall be asked whether he pleads guilty of the offence charged or claims to be tried state amendment chhattisgarh in subsection of section of the principal act after the word to the accused the following shall be added namely present in person of through the medium of electronic video linkage and being represented by his pleader in the court vide chhattisgarh act of s karnataka amendment of section in section of the code of criminal procedure central act of in subsection in clause a for the words to the chief judicial magistrate and thereupon the chief judicial magistrate the words to the chief judicial magistrate or to any judicial magistrate competent to try the case and thereupon the chief judicial magistrate or such other judicial magistrate to whom the case may have been transferred shall be substituted vide karnataka act of s west bengal in section of the said code in clause a of subsection of section for the words to the chief judicial magistrate and thereupon the chief judicial magistrate the words to the chief judicial magistrate or to any judicial magistrate competent to try the case and thereupon the chief judicial magistrate or such other judicial magistrate to whom the case may have been transferred shall be substituted vide west bengal act of s,Trial Procedure,CrPC
if the accused pleads guilty the judge shall record the plea and may in his discretion convict him thereon,Trial Procedure,CrPC
if the accused refuses to plead or does not plead or claims to be tried or is not convicted under section the judge shall fix a date for the examination of witnesses and may on the application of the prosecution issue any process for compelling the attendance of any witness or the production of any document or other thing,Trial Procedure,CrPC
on the date so fixed the judge shall proceed to take all such evidence as may be produced in support of the prosecution the judge may in his discretion permit the crossexamination of any witness to be deferred until any other witness or witnesses have been examined or recall any witness for further crossexamination,Trial Procedure,CrPC
if after taking the evidence for the prosecution examining the accused and hearing the prosecution and the defence on the point the judge considers that there is no evidence that the accused committed the offence the judge shall record an order of acquittal,Trial Procedure,CrPC
where the accused is not acquitted under section he shall be called upon to enter on his defence and adduce any evidence he may have in support thereof if the accused puts in any written statement the judge shall file it with the record if the accused applies for the issue of any process for compelling the attendance of any witness or the production of any document or thing the judge shall issue such process unless he considers for reasons to be recorded that such application should be refused on the ground that it is made for the purpose of vexation or delay or for defeating the ends of justice,Trial Procedure,CrPC
when the examination of the witnesses if any for the defence is complete the prosecutor shall sum up his case and the accused or his pleader shall be entitled to reply provided that where any point of law is raised by the accused or his pleader the prosecution may with the permission of the judge make his submissions with regard to such point of law,Trial Procedure,CrPC
after hearing arguments and points of law if any the judge shall give a judgment in the case if the accused is convicted the judge shall unless he proceeds in accordance with the provisions of section hear the accused on the questions of sentence and then pass sentence on him according to law,Trial Procedure,CrPC
in a case where a previous conviction is charged under the provisions of subsection of section and the accused does not admit that he has been previously convicted as alleged in the charge the judge may after he has convicted the said accused under section or section take evidence in respect of the alleged previous conviction and shall record a finding thereon provided that no such charge shall be read out by the judge nor shall the accused be asked to plead thereto nor shall the previous conviction be referred to by the prosecution or in any evidence adduced by it unless and until the accused has been convicted under section or section,Trial Procedure,CrPC
a court of session taking cognizance of an offence under subsection of section shall try the case in accordance with the procedure for the trial of warrantcases instituted otherwise than on a police report before a court of magistrate provided that the person against whom the offence is alleged to have been committed shall unless the court of session for reasons to be recorded otherwise directs be examined as a witness for the prosecution every trial under this section shall be held in camera if either party thereto so desires or if the court thinks fit so to do if in any such case the court discharges or acquits all or any of the accused and is of opinion that there was no reasonable cause for making the accusation against them or any of them it may by its order of discharge or acquittal direct the person against whom the offence was alleged to have been committed other than the president vicepresident or the governor of a state or the administrator of a union territory to show cause why he should not pay compensation to such accused or to each or any of such accused when there are more than one the court shall record and consider any cause which may be shown by the person so directed and if it is satisfied that there was no reasonable cause for making the accusation it may for reasons to be recorded make an order that compensation to such amount not exceeding one thousand rupees as it may determine be paid by such person to the accused or to each or any of them compensation awarded under subsection shall be recovered as if it were a fine imposed by a magistrate no person who has been directed to pay compensation under subsection shall by reason of such order be exempted from any civil or criminal liability in respect of the complaint made under this section provided that any amount paid to an accused person under this section shall be taken into account in awarding compensation to such person in any subsequent civil suit relating to the same matter the person who has been ordered under subsection to pay compensation may appeal from the order in so far as it relates to the payment of compensation to the high court when an order for payment of compensation to an accused person is made the compensation shall not be paid to him before the period allowed for the presentation of the appeal has elapsed or if an appeal is presented before the appeal has been decided,Trial Procedure,CrPC
when in any warrantcase instituted on a police report the accused appears or is brought before a magistrate at the commencement of the trial the magistrate shall satisfy himself that he has complied with the provisions of section,Police Procedure,CrPC
if upon considering the police report and the documents sent with it under section and making such examination if any of the accused as the magistrate thinks necessary and after giving the prosecution and the accused an opportunity of being heard the magistrate considers the charge against the accused to be groundless he shall discharge the accused and record his reasons for so doing,Police Procedure,CrPC
if upon such consideration examination if any and hearing the magistrate is of opinion that there is ground for presuming that the accused has committed an offence triable under this chapter which such magistrate is competent to try and which in his opinion could be adequately punished by him he shall frame in writing a charge against the accused the charge shall then be read and explained to the accused and he shall be asked whether he pleads guilty of the offence charged or claims to be tried state amendment chhattisgarh in subsection of section of the principal act after the word to the accused the following shall be added present either in person or through the medium of electronic video linkage in the presence of his pleader in the court vide chhattisgarh act of s,Police Procedure,CrPC
if the accused pleads guilty the magistrate shall record the plea and may in his discretion convict him thereon,Police Procedure,CrPC
if the accused refuses to plead or does not plead or claims to be tried or the magistrate does not convict the accused under section the magistrate shall fix a date for the examination of witnesses provided that the magistrate shall supply in advance to the accused the statement of witnesses recorded during investigation by the police the magistrate may on the application of the prosecution issue a summons to any of its witnesses directing him to attend or to produce any document or other thing on the date so fixed the magistrate shall proceed to take all such evidence as may be produced in support of the prosecution provided that the magistrate may permit the crossexamination of any witness to be deferred until any other witness or witnesses have been examined or recall any witness for further crossexamination,Police Procedure,CrPC
the accused shall then be called upon to enter upon his defence and produce his evidence and if the accused puts in any written statement the magistrate shall file it with the record if the accused after he has entered upon his defence applies to the magistrate to issue any process for compelling the attendance of any witness for the purpose of examination or crossexamination or the production of any document or other thing the magistrate shall issue such process unless he considers that such application should be refused on the ground that it is made for the purpose of vexation or delay or for defeating the ends of justice and such ground shall be recorded by him in writing provided that when the accused has crossexamined or had the opportunity of crossexamining any witness before entering on his defence the attendance of such witness shall not be compelled under this section unless the magistrate is satisfied that it is necessary for the ends of justice the magistrate may before summoning any witness on an application under subsection require that the reasonable expenses incurred by the witness in attending for the purposes of the trial be deposited in court,Police Procedure,CrPC
when in any warrantcase instituted otherwise than on a police report the accused appears or is brought before a magistrate the magistrate shall proceed to hear the prosecution and take all such evidence as may be produced in support of the prosecution the magistrate may on the application of the prosecution issue a summons to any of its witnesses directing him to attend or to produce any document or other thing,Police Procedure,CrPC
if upon taking all the evidence referred to in section the magistrate considers for reasons to be recorded that no case against the accused has been made out which if unrebutted would warrant his conviction the magistrate shall discharge him nothing in this section shall be deemed to prevent a magistrate from discharging the accused at any previous stage of the case if for reasons to be recorded by such magistrate he considers the charge to be groundless state amendment west bengal in section of the principal act after subsection the following subsection shall be inserted if all the evidence referred to in section are not produced in support of the prosecution within four years from the date of appearance of the accused the magistrate shall discharge the accused unless the prosecution satisfies the magistrate that upon the evidence already produced and for special reasons there is ground for presuming that it shall not be in the interest of justice to discharge the accused vide west bengal act of s,Police Procedure,CrPC
if when such evidence has been taken or at any previous stage of the case the magistrate is of opinion that there is ground for presuming that the accused has committed an offence triable under this chapter which such magistrate is competent to try and which in his opinion could be adequately punished by him he shall frame in writing a charge against the accused the charge shall then be read and explained to the accused and he shall be asked whether he pleads guilty or has any defence to make if the accused pleads guilty the magistrate shall record the plea and may in his discretion convict him thereon if the accused refuses to plead or does not plead or claims to be tried or if the accused is not convicted under subsection he shall be required to state at the commencement of the next hearing of the case or if the magistrate for reasons to be recorded in writing so thinks fit forthwith whether he wishes to crossexamine any and if so which of the witnesses for the prosecution whose evidence has been taken if he says he does so wish the witnesses named by him shall be recalled and after crossexamination and reexamination if any they shall be discharged the evidence of any remaining witnesses for the prosecution shall next be taken and after crossexamination and reexamination if any they shall also be discharged,Police Procedure,CrPC
evidence for defence,Police Procedure,CrPC
if in any case under this chapter in which a charge has been framed the magistrate finds the accused not guilty he shall record an order of acquittal where in any case under this chapter the magistrate finds the accused guilty but does not proceed in accordance with the provisions of section or section he shall after hearing the accused on the question of sentence pass sentence upon him according to law where in any case under this chapter a previous conviction is charged under the provisions of subsection of section and the accused does not admit that he has been previously convicted as alleged in the charge the magistrate may after he has convicted the said accused take evidence in respect of the alleged previous conviction and shall record a finding thereon provided that no such charge shall be read out by the magistrate nor shall the accused be asked to plead thereto nor shall the previous conviction be referred to by the prosecution or in any evidence adduced by it unless and until the accused has been convicted under subsection,Police Procedure,CrPC
when the proceedings have been instituted upon complaint and on any day fixed for the hearing of the case the complainant is absent and the offence may be lawfully compounded or is not a cognizable offence the magistrate may in his discretion notwithstanding anything hereinbefore contained at any time before the charge has been framed discharge the accused,Police Procedure,CrPC
if in any case instituted upon complaint or upon information given to a police officer or to a magistrate one or more persons is or are accused before a magistrate of any offence triable by a magistrate and the magistrate by whom the case is heard discharges or acquits all or any of the accused and is of opinion that there was no reasonable ground for making the accusation against them or any of them the magistrate may by his order of discharge or acquittal if the person upon whose complaint or information the accusation was made is present call upon him forthwith to show cause why he should not pay compensation to such accused or to each or any of such accused when there are more than one or if such person is not present direct the issue of a summons to him to appear and show cause as aforesaid the magistrate shall record and consider any cause which such complainant or informant may show and if he is satisfied that there was no reasonable ground for making the accusation may for reasons to be recorded make an order that compensation to such amount not exceeding the amount of fine he is empowered to impose as he may determine be paid by such complainant or informant to the accused or to each or any of them the magistrate may by the order directing payment of the compensation under subsection further order that in default of payment the person ordered to pay such compensation shall undergo simple imprisonment for a period not exceeding thirty days when any person is imprisoned under subsection the provisions of sections and of the indian penal code of shall so far as may be apply no person who has been directed to pay compensation under this section shall by reason of such order be exempted from any civil or criminal liability in respect of the complaint made or information given by him provided that any amount paid to an accused person under this section shall be taken into account in awarding compensation to such person in any subsequent civil suit relating to the same matter a complainant or informant who has been ordered under subsection by a magistrate of the second class to pay compensation exceeding one hundred rupees may appeal from the order as if such complainant or informant had been convicted on a trial held by such magistrate when an order for payment of compensation to an accused person is made in a case which is subject to appeal under subsection the compensation shall not be paid to him before the period allowed for the presentation of the appeal has elapsed or if an appeal is presented before the appeal has been decided and where such order is made in a case which is not so subject to appeal the compensation shall not be paid before the expiration of one month from the date of the order the provisions of this section apply to summonscases as well as to warrantcases,Police Procedure,CrPC
when in a summonscase the accused appears or is brought before the magistrate the particulars of the offence of which he is accused shall be stated to him and he shall be asked whether he pleads guilty or has any defence to make but it shall not be necessary to frame a formal charge state amendment chhattisgarh in section of the principal act after the word bought before the magistrate the following shall be added or appears through the medium of electronic video linkage in the presence of his pleader in the court vide chhattisgarh act of s,Trial Procedure,CrPC
if the accused pleads guilty the magistrate shall record the plea as nearly as possible in the words used by the accused and may in his discretion convict him thereon,Trial Procedure,CrPC
where a summons has been issued under section and the accused desires to plead guilty to the charge without appearing before the magistrate he shall transmit to the magistrate by post or by messenger a letter containing his plea and also the amount of fine specified in the summons the magistrate may in his discretion convict the accused in his absence on his plea of guilty and sentence him to pay the fine specified in the summons and the amount transmitted by the accused shall be adjusted towards that fine or where a pleader authorised by the accused in this behalf pleads guilty on behalf of the accused the magistrate shall record the plea as nearly as possible in the words used by the pleader and may in his discretion convict the accused on such plea and sentence him as aforesaid,Trial Procedure,CrPC
if the magistrate does not convict the accused under section or section the magistrate shall proceed to hear the prosecution and take all such evidence as may be produced in support of the prosecution and also to hear the accused and take all such evidence as he produces in his defence the magistrate may if he thinks fit on the application of the prosecution or the accused issue a summons to any witness directing him to attend or to produce any document or other thing the magistrate may before summoning any witness on such application require that the reasonable expenses of the witness incurred in attending for the purposes of the trial be deposited in court,Trial Procedure,CrPC
